,Year,variable,value
417,2015,Fire_heat_&_hot_substances,565601.0
418,2016,Fire_heat_&_hot_substances,564200.0
419,2017,Fire_heat_&_hot_substances,561057.0
420,1990,Malaria,3263775.0
421,1991,Malaria,3365587.0
422,1992,Malaria,3458467.0
423,1993,Malaria,3548028.0
424,1994,Malaria,3615646.0
425,1995,Malaria,3705788.0
426,1996,Malaria,3784778.0
427,1997,Malaria,3884970.0
428,1998,Malaria,3983870.0
429,1999,Malaria,4076870.0
430,2000,Malaria,4162985.0
431,2001,Malaria,4328592.0
432,2002,Malaria,4462061.0
433,2003,Malaria,4578238.0
434,2004,Malaria,4581234.0
435,2005,Malaria,4545292.0
436,2006,Malaria,4463191.0
437,2007,Malaria,4394299.0
438,2008,Malaria,4292242.0
439,2009,Malaria,4083831.0
440,2010,Malaria,3870623.0
441,2011,Malaria,3707522.0
442,2012,Malaria,3563424.0
443,2013,Malaria,3485967.0
444,2014,Malaria,3409964.0
445,2015,Malaria,3245226.0
446,2016,Malaria,3064208.0
447,2017,Malaria,3036340.0
448,1990,Drowning,2480551.0
449,1991,Drowning,2476121.0
450,1992,Drowning,2480770.0
451,1993,Drowning,2492432.0
452,1994,Drowning,2477371.0
453,1995,Drowning,2448195.0
454,1996,Drowning,2380994.0
455,1997,Drowning,2319407.0
456,1998,Drowning,2253506.0
457,1999,Drowning,2184790.0
458,2000,Drowning,2125919.0
459,2001,Drowning,2041398.0
460,2002,Drowning,1939251.0
461,2003,Drowning,1842524.0
462,2004,Drowning,1802795.0
463,2005,Drowning,1766317.0
464,2006,Drowning,1692711.0
465,2007,Drowning,1648978.0
466,2008,Drowning,1627367.0
467,2009,Drowning,1600345.0
468,2010,Drowning,1575766.0
469,2011,Drowning,1542927.0
470,2012,Drowning,1517645.0
471,2013,Drowning,1481817.0
472,2014,Drowning,1451402.0
473,2015,Drowning,1431133.0
474,2016,Drowning,1411535.0
475,2017,Drowning,1374108.0
476,1990,Interpersonal_violence,1705551.0
477,1991,Interpersonal_violence,1764535.0
478,1992,Interpersonal_violence,1874795.0
479,1993,Interpersonal_violence,2027202.0
480,1994,Interpersonal_violence,2049861.0
481,1995,Interpersonal_violence,2066549.0
482,1996,Interpersonal_violence,2042999.0
483,1997,Interpersonal_violence,2034253.0
484,1998,Interpersonal_violence,2050999.0
485,1999,Interpersonal_violence,2099218.0
486,2000,Interpersonal_violence,2151467.0
487,2001,Interpersonal_violence,2127491.0
488,2002,Interpersonal_violence,2163888.0
489,2003,Interpersonal_violence,2084749.0
490,2004,Interpersonal_violence,2056530.0
491,2005,Interpersonal_violence,2025898.0
492,2006,Interpersonal_violence,1990686.0
493,2007,Interpersonal_violence,1944723.0
494,2008,Interpersonal_violence,1960553.0
495,2009,Interpersonal_violence,1962841.0
496,2010,Interpersonal_violence,1971764.0
497,2011,Interpersonal_violence,1954222.0
498,2012,Interpersonal_violence,1967381.0
499,2013,Interpersonal_violence,1939689.0
500,2014,Interpersonal_violence,1913797.0
501,2015,Interpersonal_violence,1926486.0
502,2016,Interpersonal_violence,1902918.0
503,2017,Interpersonal_violence,1957194.0
504,1990,HIV/AIDS,1741436.0
505,1991,HIV/AIDS,2208229.0
506,1992,HIV/AIDS,2737822.0
507,1993,HIV/AIDS,3312717.0
508,1994,HIV/AIDS,3922851.0
509,1995,HIV/AIDS,4545887.0
510,1996,HIV/AIDS,5108943.0
511,1997,HIV/AIDS,5628169.0
512,1998,HIV/AIDS,6237990.0
513,1999,HIV/AIDS,6907567.0
514,2000,HIV/AIDS,7569338.0
515,2001,HIV/AIDS,8110087.0
516,2002,HIV/AIDS,8620124.0
517,2003,HIV/AIDS,9065351.0
